ANIO;MES;DIA;HORA;PESPANIA;PPORTUGAL;
2007;07;25;4;3.554;2.66;
2007;07;25;5;3.554;2.66;
2007;07;25;6;2.811;2.698;
2007;07;25;7;2.993;2.87;
2007;07;25;8;3.554;3.094;
2007;07;25;9;4.05;4.05;
2007;07;25;10;4.4;4.4;
2007;07;25;11;4.45;4.45;
2007;07;25;12;4.45;4.45;
2007;07;25;13;4.911;4.911;
2007;07;25;14;5.25;5.25;
2007;07;25;15;4.52;4.52;
2007;07;25;16;4.58;4.58;
2007;07;25;17;4.78;4.78;
2007;07;25;18;4.911;4.911;
2007;07;25;19;4.72;4.72;
2007;07;25;20;4.4;4.4;
2007;07;25;21;4.257;4.257;
2007;07;25;22;4.22;4.22;
2007;07;25;23;4.35;4.35;
2007;07;25;24;4.254;3.9;
2007;07;26;1;3.66;3.66;
2007;07;26;2;3.554;3.095;
2007;07;26;3;3.554;2.89;
2007;07;26;4;3.554;2.815;
2007;07;26;5;3.554;2.782;
2007;07;26;6;2.79;2.79;
2007;07;26;7;3.013;3.013;
2007;07;26;8;3.598;3.598;
2007;07;26;9;3.95;3.95;
2007;07;26;10;4.414;4.414;
2007;07;26;11;5.366;5.366;
2007;07;26;12;5.9;5.9;
2007;07;26;13;6.45;6.45;
2007;07;26;14;6.512;6.512;
2007;07;26;15;5.8;5.8;
2007;07;26;16;5.538;5.538;
2007;07;26;17;5.538;5.538;
2007;07;26;18;5.692;5.692;
2007;07;26;19;5.198;5.198;
2007;07;26;20;4.5;4.5;
2007;07;26;21;4.254;3.995;
2007;07;26;22;4.3;4;
2007;07;26;23;4.4;4.4;
2007;07;26;24;4.455;3.85;
2007;07;27;1;3.609;3.609;
2007;07;27;2;3.555;3.013;
2007;07;27;3;3.604;2.873;
2007;07;27;4;3.555;2.8;
2007;07;27;5;3.555;2.782;
2007;07;27;6;3.555;2.8;
2007;07;27;7;3.555;2.98;
2007;07;27;8;3.598;3.598;
2007;07;27;9;3.87;3.87;
2007;07;27;10;4.15;4.15;
2007;07;27;11;5.25;5.25;
2007;07;27;12;5.723;5.723;
2007;07;27;13;6.15;6.15;
2007;07;27;14;6.343;6.343;
2007;07;27;15;5.401;5.401;
2007;07;27;16;4.95;4.95;
2007;07;27;17;5.35;5.35;
2007;07;27;18;5.505;5.505;
2007;07;27;19;4.75;4.75;
2007;07;27;20;4.25;4.22;
2007;07;27;21;4.225;3.78;
2007;07;27;22;4.122;3.54;
2007;07;27;23;4.625;3.825;
2007;07;27;24;4.455;3.014;
2007;07;28;1;4.52;4.52;
2007;07;28;2;4.264;4.264;
2007;07;28;3;3.585;3.585;
2007;07;28;4;3.18;3.18;
2007;07;28;5;3.013;3.013;
2007;07;28;6;2.956;2.956;
2007;07;28;7;2.948;2.948;
2007;07;28;8;3.584;2.85;
2007;07;28;9;3.585;2.85;
2007;07;28;10;3.735;3.5;
2007;07;28;11;4.401;4.401;
2007;07;28;12;4.585;4.585;
2007;07;28;13;4.51;4.51;
2007;07;28;14;4.647;4.647;
2007;07;28;15;4.402;4.402;
2007;07;28;16;3.78;3.78;
2007;07;28;17;3.865;3.18;
2007;07;28;18;3.866;3.16;
2007;07;28;19;3.994;3.35;
2007;07;28;20;4.115;3.629;
2007;07;28;21;3.995;3.995;
2007;07;28;22;4.257;4.257;
2007;07;28;23;4.58;4.58;
2007;07;28;24;4.455;3.997;
2007;07;29;1;4.585;3.1;
2007;07;29;2;3.585;3.38;
2007;07;29;3;3.585;3.1;
2007;07;29;4;3.585;2.903;
2007;07;29;5;3.584;2.821;
2007;07;29;6;3.584;2.768;
2007;07;29;7;3.584;2.7;
2007;07;29;8;2.51;2.363;
2007;07;29;9;2.695;2.695;
2007;07;29;10;3.584;3.04;
2007;07;29;11;3.584;2.95;
2007;07;29;12;3.734;3.18;
2007;07;29;13;3.994;3.994;
2007;07;29;14;4.5;4.5;
2007;07;29;15;4.75;4.75;
2007;07;29;16;4.22;4.22;
2007;07;29;17;3.88;3.88;
2007;07;29;18;3.584;3.584;
2007;07;29;19;3.584;3.584;
2007;07;29;20;3.5;3.5;
2007;07;29;21;3.584;3.5;
2007;07;29;22;3.66;3.66;
2007;07;29;23;5.25;5.25;
2007;07;29;24;4.807;4.807;
2007;07;30;1;3.996;3.013;
2007;07;30;2;3.635;2.87;
2007;07;30;3;3.634;2.707;
2007;07;30;4;3.586;2.645;
2007;07;30;5;3.585;2.47;
2007;07;30;6;3.585;2.529;
2007;07;30;7;3.585;2.824;
2007;07;30;8;3.585;2.884;
2007;07;30;9;3.586;3.314;
2007;07;30;10;4.115;3.296;
2007;07;30;11;4.911;3.9;
2007;07;30;12;4.86;3.997;
2007;07;30;13;5.685;4.5;
2007;07;30;14;5.335;5.335;
2007;07;30;15;4.95;4.5;
2007;07;30;16;5.278;4.3;
2007;07;30;17;5.25;5.103;
2007;07;30;18;5.296;5.139;
2007;07;30;19;5.335;4.5;
2007;07;30;20;4.995;3.807;
2007;07;30;21;4.75;3.203;
2007;07;30;22;4.498;3.403;
2007;07;30;23;5.25;3.8;
2007;07;30;24;5.335;2.992;
2007;07;31;1;4.122;3.598;
2007;07;31;2;4.275;2.991;
2007;07;31;3;4.275;2.85;
2007;07;31;4;4.1;2.782;
2007;07;31;5;3.966;2.782;
2007;07;31;6;3.964;2.782;
2007;07;31;7;3.965;2.927;
2007;07;31;8;3.834;3.14;
2007;07;31;9;3.875;3.875;
2007;07;31;10;4.8;4.8;
2007;07;31;11;5.782;5.782;
2007;07;31;12;5.947;5.947;
2007;07;31;13;6.501;6.501;
2007;07;31;14;6.502;6.502;
2007;07;31;15;5.913;5.913;
2007;07;31;16;6;6;
2007;07;31;17;5.913;5.913;
2007;07;31;18;6;6;
2007;07;31;19;5.685;5.685;
2007;07;31;20;4.95;4.95;
2007;07;31;21;4.8;4.8;
2007;07;31;22;4.75;4.75;
2007;07;31;23;5.25;5.25;
2007;07;31;24;5.296;3.998;
2007;08;01;1;4.405;3.16;
2007;08;01;2;4.3;2.9;
2007;08;01;3;4.3;2.768;
2007;08;01;4;4.25;2.7;
2007;08;01;5;4.094;2.583;
2007;08;01;6;3.966;2.7;
2007;08;01;7;4.095;2.831;
2007;08;01;8;3.875;2.961;
2007;08;01;9;3.736;3.375;
2007;08;01;10;4.115;3.752;
2007;08;01;11;4.969;4.15;
2007;08;01;12;5.574;4.92;
2007;08;01;13;5.685;5.488;
2007;08;01;14;5.874;5.874;
2007;08;01;15;5.335;5.322;
2007;08;01;16;5.685;4.821;
2007;08;01;17;5.685;5.499;
2007;08;01;18;5.8;5.8;
2007;08;01;19;5.335;5.335;
2007;08;01;20;4.847;4.495;
2007;08;01;21;4.75;4.15;
2007;08;01;22;4.75;4;
2007;08;01;23;4.75;4;
2007;08;01;24;4.911;3.04;
2007;08;02;1;4.245;2.95;
2007;08;02;2;4.3;2.782;
2007;08;02;3;4.275;2.528;
2007;08;02;4;4.235;2.379;
2007;08;02;5;4.105;2.363;
2007;08;02;6;3.975;2.444;
2007;08;02;7;3.976;2.782;
2007;08;02;8;4.1;2.863;
2007;08;02;9;3.974;3.159;
